name,images,type,capacity,bathroom,bedroom,bed,desc,price,reivew_count,rating
The best view in Asheville!,https://a0.muscache.com/im/pictures/f2f87f86-6f80-4877-b9ab-526113ac30cc.jpg?aki_policy=large,Entire home/apt,4,2.0,2,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Cleaning before checkout"",""Wide hallways"",""No stairs or steps to enter"",""Wide entrance for guests"",""Flat path to guest entrance"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""No stairs or steps to enter"",""Wide doorway to guest bathroom"",""Wide clearance to shower, toilet"",""No stairs or steps to enter"",""Wide entryway"",""Bedroom comforts"",""Bathroom essentials""}",199,119,100
Mountain Cabin Near Downtown,https://a0.muscache.com/im/pictures/9e782ccf-bb26-4dbf-82b1-16b1cd383aac.jpg?aki_policy=large,Entire home/apt,6,3.0,3,3,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",Bathtub,""Fireplace guards"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Well-lit path to entrance"",""Extra space around bed"",""Handheld shower head"",""Hot water kettle""}",425,19,99
Beautiful Modern Suite with Hot Tub,https://a0.muscache.com/im/pictures/dff79c8f-275d-426e-825a-a1222a68835c.jpg?aki_policy=large,Entire home/apt,4,1.0,1,2,"{TV,Wifi,""Air conditioning"",""Free parking on premises"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Long term stays allowed""}",100,78,98
5 Star Luxurious Urban Loft Apt,https://a0.muscache.com/im/pictures/17f178a5-3a41-44c1-a403-84256303495c.jpg?aki_policy=large,Entire home/apt,6,2.5,2,2,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",375,13,98
"Tiny retreat just off the interstate, Private Bath",https://a0.muscache.com/im/pictures/6edc78ee-12cb-4e13-bc93-0ee258822afa.jpg?aki_policy=large,Private room,2,1.0,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",85,42,94
Dog Friendly Bungalow in Quiet West Asheville,https://a0.muscache.com/im/pictures/303d5992-92e1-4c19-b800-bcf0c1140251.jpg?aki_policy=large,Entire home/apt,4,1.0,2,2,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water""}",125,13,98
RainbowUnicorn & Paris of the South,https://a0.muscache.com/im/pictures/03f418c0-c4aa-41a4-83fa-9c4d872e6de9.jpg?aki_policy=large,Private room,4,1.0,1,2,"{Wifi,""Air conditioning"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Host greets you""}",97,2,99
"10 minutes to Downtown & Biltmore, Next to Parkway",https://a0.muscache.com/im/pictures/c8833d9a-e453-4d96-85f3-31a15d2fc1bd.jpg?aki_policy=large,Entire home/apt,10,2.0,3,7,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Smart lock"",""Private entrance"",Bathtub,""Stair gates"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Extra space around bed"",""Accessible-height bed"",""Accessible-height toilet""}",350,66,97
"""Tree house"" in South Asheville",https://a0.muscache.com/im/pictures/062bdcc1-406d-48f5-b6ec-31cc1266e4a2.jpg?aki_policy=large,Private room,5,1.5,1,3,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Cat(s),""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private living room"",""Private entrance"",Bathtub,""High chair"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance""}",43,15,97
"Lovely, welcoming, walkable",https://a0.muscache.com/im/pictures/62608b2c-0cf2-440c-bea1-ccc3d2b70637.jpg?aki_policy=large,Private room,2,1.0,1,1,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad,""Private entrance"",""Children’s books and toys"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",49,83,98
Sweet suite for families & friends,https://a0.muscache.com/im/pictures/47649640-a785-40e6-a4ae-33c0b1d3eb79.jpg?aki_policy=large,Private room,5,1.0,2,4,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Children’s books and toys"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",89,59,96
Bunks for family and friends,https://a0.muscache.com/im/pictures/71b32e04-b8f7-40cc-989c-ffbe5adfc03d.jpg?aki_policy=large,Private room,3,1.0,1,3,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Children’s books and toys"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",49,69,99
The Morning Room @ The Asheville Bed & Beverage,https://a0.muscache.com/im/pictures/a39ae89b-4955-4a9a-b2fb-a76468b848b7.jpg?aki_policy=large,Private room,2,1.0,1,1,"{Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",Cat(s),""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Extra pillows and blankets""}",67,17,95
Historic Grove Park - Apartment #4,https://a0.muscache.com/im/pictures/675458c6-cb02-46cc-995f-5595addf83ed.jpg?aki_policy=large,Entire home/apt,3,1.0,1,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water""}",125,1,96
Urban Farmhouse,https://a0.muscache.com/im/pictures/5d6e942b-bb62-4f90-9abf-e940c2ae8f7d.jpg?aki_policy=large,Private room,2,1.0,1,1,"{""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",""Family/kid friendly"",""Suitable for events"",Essentials,Shampoo,Bathtub,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Garden or backyard"",""Long term stays allowed"",""No stairs or steps to enter"",""Accessible-height toilet"",""No stairs or steps to enter""}",40,0,84
Mountain View Cottage with Hot Tub,https://a0.muscache.com/im/pictures/15ffa524-c5cd-4a97-9483-14bd1570b6a3.jpg?aki_policy=large,Entire home/apt,7,1.0,3,3,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Pets allowed"",""Hot tub"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,Bathtub,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""No stairs or steps to enter"",""No stairs or steps to enter"",""No stairs or steps to enter"",""No stairs or steps to enter""}",150,91,94
"Convenient to Breweries, Biltmore, Downtown, River",https://a0.muscache.com/im/pictures/a07f3cc7-1d6a-4b59-af83-01ff1be7d4b2.jpg?aki_policy=large,Entire home/apt,4,1.0,1,2,"{TV,Internet,Wifi,""Air conditioning"",""Free parking on premises"",""Pets live on this property"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private living room"",""Private entrance"",Bathtub,""Hot water"",Microwave,Refrigerator,""Long term stays allowed"",Other}",100,31,96
Cheryl's W. Asheville Chalet,https://a0.muscache.com/im/pictures/339930b7-eb29-413c-b076-1295efbcecf1.jpg?aki_policy=large,Private room,2,1.0,1,1,"{""Air conditioning"",""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,""Lock on bedroom door"",""Self check-in"",Keypad,""Private entrance""}",60,28,100
Modern in Downtown Walkable West Asheville,https://a0.muscache.com/im/pictures/eb121fea-560e-45d8-bf2c-3afe0c7f05cf.jpg?aki_policy=large,Entire home/apt,2,1.0,1,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed""}",66,53,97
Cozy Two-Bedroom with Great Outside Firepit,https://a0.muscache.com/im/pictures/fa5248b5-4aa4-4d92-b20c-81471b393d7e.jpg?aki_policy=large,Entire home/apt,4,1.0,2,2,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""Stair gates"",""Window guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""No stairs or steps to enter"",""No stairs or steps to enter"",""Accessible-height toilet"",""No stairs or steps to enter"",""Wide entryway"",Other,""Hot water kettle""}",150,12,97
Unique Hand-built Cabin in the City,https://a0.muscache.com/im/pictures/161c5411-4103-47b0-adfa-2035ef8cdb03.jpg?aki_policy=large,Entire home/apt,2,1.0,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance""}",150,31,97
NEW studio apartment in Downtown Asheville!,https://a0.muscache.com/im/pictures/fedfd30a-1df1-48d2-9ca4-b0ec02358b9b.jpg?aki_policy=large,Entire home/apt,2,1.0,1,1,"{Internet,Wifi,""Air conditioning"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Coffee maker"",Refrigerator}",89,46,95
S. Asheville Private Flat with Mountain Views!,https://a0.muscache.com/im/pictures/8f818675-7f1f-4ed0-a721-6de18608c721.jpg?aki_policy=large,Entire home/apt,4,1.5,1,1,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""No stairs or steps to enter"",""Accessible-height toilet"",""No stairs or steps to enter"",""Wide entryway"",""Fixed grab bars for shower"",""Shower chair""}",90,59,99
UNIT I Retreat outside gates of Biltmore Estate,https://a0.muscache.com/im/pictures/af9fdfdd-672a-459a-bb31-913dc23ff9b5.jpg?aki_policy=large,Entire home/apt,4,1.0,1,2,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Children’s books and toys"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""Wide entrance for guests"",""Well-lit path to entrance""}",125,42,97
Clean and Private Bungalow Apt. in W. Asheville,https://a0.muscache.com/im/pictures/66709dd3-8055-4c71-a51a-769719c1ff77.jpg?aki_policy=large,Entire home/apt,3,1.0,1,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""Children’s books and toys"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed""}",83,51,99
Charming New Arts & Crafts Home,https://a0.muscache.com/im/pictures/4f87befc-34de-4ddb-a0dc-2377fdc3a9ae.jpg?aki_policy=large,Entire home/apt,4,2.0,3,2,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Garden or backyard"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""No stairs or steps to enter"",""Wide entryway"",Other}",135,18,100
Country Garden Getaway with Hot Tub,https://a0.muscache.com/im/pictures/21d9a172-cdd1-4639-9540-8c3768acf3af.jpg?aki_policy=large,Entire home/apt,2,1.0,0,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",Bathtub,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Wide hallways"",""No stairs or steps to enter"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Bathtub with bath chair"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""No stairs or steps to enter"",""Wide entryway"",Other,""Handheld shower head"",""Fixed grab bars for shower"",""Roll-in shower"",""Shower chair""}",55,50,96
Mountain Views over the River with Hot Tub,https://a0.muscache.com/im/pictures/030e9736-e5b4-402e-a5dc-b0e6f2b6c9b6.jpg?aki_policy=large,Entire home/apt,2,1.0,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Free street parking"",""Hot tub"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",Other}",125,75,100
"Beautiful, Private & Spacious Eco-Apartment",https://a0.muscache.com/im/pictures/56ac4bcf-688e-4fd9-825e-dad6d54fc89f.jpg?aki_policy=large,Entire home/apt,4,1.0,1,3,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",""Long term stays allowed""}",82,12,98
Female Dorm Single Bed at BPS Hostel,https://a0.muscache.com/im/pictures/a3aaa7fe-ba7b-48b9-a92e-b1e9c30e9c61.jpg?aki_policy=large,Shared room,1,2.5,1,1,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Hot water""}",27,15,94
Hart House - Luxurious Country Home,https://a0.muscache.com/im/pictures/362d1ab6-0eda-4204-8db2-e20d167ede9b.jpg?aki_policy=large,Entire home/apt,16,4.5,6,12,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",775,12,100
Raven's Nest Cottage,https://a0.muscache.com/im/pictures/c0576a6b-0bea-43d4-882d-f40b9e83078b.jpg?aki_policy=large,Entire home/apt,4,1.0,2,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free parking on premises"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""High chair"",""Stair gates"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Host greets you""}",175,30,99
East Asheville Oasis,https://a0.muscache.com/im/pictures/545ac898-7f4f-43f8-ab62-66d4ae4429bb.jpg?aki_policy=large,Entire home/apt,2,1.0,1,1,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Free parking on premises"",""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Patio or balcony"",""No stairs or steps to enter"",""Flat path to guest entrance"",""No stairs or steps to enter"",""No stairs or steps to enter"",""No stairs or steps to enter""}",119,30,98
Charming Bungalow in the heart of West Asheville,https://a0.muscache.com/im/pictures/ed52e94d-e419-48b0-9b39-faf6978d2d10.jpg?aki_policy=large,Private room,5,1.0,2,3,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator}",140,9,97
"Heart of Downtown - Bright,Spacious,Historic",https://a0.muscache.com/im/pictures/03cbba2d-5893-40e6-ad49-dc9d3a1e28c7.jpg?aki_policy=large,Entire home/apt,4,1.0,1,2,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Pack ’n Play/travel crib"",""Hot water"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed""}",129,86,99
Sweet Mountain Studio w/Deck Right Near Asheville,https://a0.muscache.com/im/pictures/fc4c5d4a-748d-4b20-ab29-907f2bc84962.jpg?aki_policy=large,Entire home/apt,2,1.0,0,1,"{Wifi,""Free parking on premises"",""Pets live on this property"",Dog(s),Heating,""Smoke detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Host greets you""}",109,15,100
